     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
    3  ANGL    32[GEN32       21.000]1     -1.473          7252.           4.9998
    2  ANGL    31[GEN31       34.500]1     -1.029         -5.435           1.4450
    8  ANGL    37[GEN37       12.500]1     -4.762         -4.123           4.9998
   10  ANGL    39[GEN39       345.00]1     -8.184         -2.584           0.9800
    4  ANGL    33[GEN33       21.000]1     -4.766         -2.255           4.9998
    1  ANGL    30[GEN30       34.500]1     -8.704          1.928           0.8900
    7  ANGL    36[GEN36       12.500]1      3.490         -1.757           0.0130
    5  ANGL    34[GEN34       15.500]1     -9.854         -1.749           0.0130
    6  ANGL    35[GEN35       15.500]1     -5.866         -1.586           2.5250
    9  ANGL    38[GEN38       34.500]1      0.000          0.000           0.0130     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   23  POWR    32[GEN32       21.000]1      6.500         -5.115           4.4149
   29  POWR    38[GEN38       34.500]1      8.300         0.4884           2.9900
   22  POWR    31[GEN31       34.500]1      5.729         0.4293           0.5000
   30  POWR    39[GEN39       345.00]1      7.500         0.3935           2.4500
   24  POWR    33[GEN33       21.000]1      6.320         0.3332           4.9398
   25  POWR    34[GEN34       15.500]1      5.080         0.3231           4.9098
   27  POWR    36[GEN36       12.500]1      5.600         0.2697           4.8948
   28  POWR    37[GEN37       12.500]1      5.400         0.2682           3.3949
   26  POWR    35[GEN35       15.500]1      6.500         0.2528           4.9548
   21  POWR    30[GEN30       34.500]1      2.240         0.1101           0.5000     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   33  VARS    32[GEN32       21.000]1      4.467         -4.166           4.4899
   40  VARS    39[GEN39       345.00]1      3.681          1.138           0.5900
   38  VARS    37[GEN37       12.500]1      1.919          1.004           4.9998
   32  VARS    31[GEN31       34.500]1      4.298         0.8993           0.5000
   34  VARS    33[GEN33       21.000]1      2.827         0.8371           4.9698
   39  VARS    38[GEN38       34.500]1      2.082         0.7313           1.9850
   37  VARS    36[GEN36       12.500]1      1.312         0.6902           1.9250
   35  VARS    34[GEN34       15.500]1      2.475         0.6612           1.8950
   36  VARS    35[GEN35       15.500]1      3.741         0.5551           0.7550
   31  VARS    30[GEN30       34.500]1      1.532         0.2502           0.5000     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   13  ETRM    32[GEN32       21.000]1     0.9575         0.2041           1.2650
   12  ETRM    31[GEN31       34.500]1     0.7900        -0.7361E-01       0.0130
   20  ETRM    39[GEN39       345.00]1      1.020        -0.4591E-01       1.4600
   11  ETRM    30[GEN30       34.500]1     0.9948        -0.4254E-01       1.2500
   18  ETRM    37[GEN37       12.500]1      1.028        -0.2400E-01       1.1450
   16  ETRM    35[GEN35       15.500]1      1.029        -0.2049E-01       1.0250
   14  ETRM    33[GEN33       21.000]1     0.9972        -0.1777E-01       4.5649
   17  ETRM    36[GEN36       12.500]1      1.023        -0.1548E-01       0.8000
   19  ETRM    38[GEN38       34.500]1      1.026        -0.1254E-01       2.5400
   15  ETRM    34[GEN34       15.500]1      1.012        -0.1177E-01       2.3300     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   52  FREQ     12 [LOAD12      138.00]     0.000         0.1206           4.9998
   51  FREQ     11 [BUS11       345.00]     0.000         0.1206           0.1180
   50  FREQ     10 [BUS10       345.00]     0.000         0.1206           0.0580
   53  FREQ     13 [BUS13       345.00]     0.000         0.1206           4.9998
   72  FREQ     32 [GEN32       21.000]     0.000         0.1206           4.9998
   71  FREQ     31 [GEN31       34.500]     0.000        -0.2137E-02       3.7099
   79  FREQ     39 [GEN39       345.00]     0.000        -0.2129E-02       2.7050
   49  FREQ      9 [BUS9        345.00]     0.000        -0.2098E-02       2.7050
   78  FREQ     38 [GEN38       34.500]     0.000        -0.2071E-02       0.5000
   41  FREQ      1 [BUS1        345.00]     0.000        -0.2062E-02       0.4330
   46  FREQ      6 [BUS6        345.00]     0.000        -0.2043E-02       3.6799
   47  FREQ      7 [LOAD7       345.00]     0.000        -0.2042E-02       0.4630
   48  FREQ      8 [LOAD8       345.00]     0.000        -0.2042E-02       0.4480
   45  FREQ      5 [BUS5        345.00]     0.000        -0.2032E-02       3.6799
   69  FREQ     29 [LOAD29      345.00]     0.000        -0.2029E-02       3.2599
   74  FREQ     34 [GEN34       15.500]     0.000        -0.2024E-02       3.1850
   68  FREQ     28 [LOAD28      345.00]     0.000        -0.2008E-02       3.2599
   73  FREQ     33 [GEN33       21.000]     0.000        -0.2004E-02       3.2000
   60  FREQ     20 [LOAD20      138.00]     0.000        -0.2003E-02       3.2000
   77  FREQ     37 [GEN37       12.500]     0.000        -0.1989E-02       3.5899
   59  FREQ     19 [BUS19       345.00]     0.000        -0.1986E-02       0.5000
   75  FREQ     35 [GEN35       15.500]     0.000        -0.1986E-02       0.4630
   76  FREQ     36 [GEN36       12.500]     0.000        -0.1981E-02       0.5000
   44  FREQ      4 [LOAD4       345.00]     0.000        -0.1973E-02       3.6649
   70  FREQ     30 [GEN30       34.500]     0.000        -0.1969E-02       0.2980
   62  FREQ     22 [BUS22       345.00]     0.000        -0.1969E-02       0.5000
   63  FREQ     23 [LOAD23      345.00]     0.000        -0.1967E-02       0.5000
   42  FREQ      2 [BUS2        345.00]     0.000        -0.1965E-02       0.4180
   65  FREQ     25 [LOAD25      345.00]     0.000        -0.1959E-02       0.4180
   61  FREQ     21 [LOAD21      345.00]     0.000        -0.1954E-02       0.5000
   66  FREQ     26 [LOAD26      345.00]     0.000        -0.1944E-02       0.5000
   43  FREQ      3 [LOAD3       345.00]     0.000        -0.1944E-02       0.4480
   64  FREQ     24 [LOAD24      345.00]     0.000        -0.1944E-02       0.5000
   54  FREQ     14 [BUS14       345.00]     0.000        -0.1940E-02       0.4630
   56  FREQ     16 [LOAD16      345.00]     0.000        -0.1940E-02       0.5000
   67  FREQ     27 [LOAD27      345.00]     0.000        -0.1933E-02       0.4180
   57  FREQ     17 [BUS17       345.00]     0.000        -0.1922E-02       0.5000
   55  FREQ     15 [LOAD15      345.00]     0.000        -0.1919E-02       0.5000
   58  FREQ     18 [LOAD18      345.00]     0.000        -0.1916E-02       0.4180     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:12
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   90  VOLT     11 [BUS11       345.00]    0.9225         0.3121           1.2650
   92  VOLT     13 [BUS13       345.00]    0.9324         0.3046           1.2650
   89  VOLT     10 [BUS10       345.00]    0.9360         0.3008           1.2650
   91  VOLT     12 [LOAD12      138.00]    0.9244         0.2986           0.5000
  111  VOLT     32 [GEN32       21.000]    0.9575         0.2041           1.2650
   85  VOLT      6 [BUS6        345.00]    0.8976        -0.1129           1.3550
   86  VOLT      7 [LOAD7       345.00]    0.8404        -0.1083           1.3550
   84  VOLT      5 [BUS5        345.00]    0.8965        -0.1082           1.3400
   87  VOLT      8 [LOAD8       345.00]    0.8585        -0.1056           0.0130
   83  VOLT      4 [LOAD4       345.00]    0.9118        -0.8510E-01       1.2500
   93  VOLT     14 [BUS14       345.00]    0.9272        -0.7735E-01       1.1300
  110  VOLT     31 [GEN31       34.500]    0.7900        -0.7361E-01       0.0130
   88  VOLT      9 [BUS9        345.00]    0.9637        -0.7281E-01       1.4300
   82  VOLT      3 [LOAD3       345.00]    0.9388        -0.5908E-01       1.1150
   94  VOLT     15 [LOAD15      345.00]    0.9389        -0.5429E-01       1.0100
   97  VOLT     18 [LOAD18      345.00]    0.9503        -0.5130E-01       1.0250
   81  VOLT      2 [BUS2        345.00]    0.9920        -0.4755E-01       1.1450
   80  VOLT      1 [BUS1        345.00]     1.021        -0.4679E-01       1.4000
