     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
    4  ANGL    33[GEN33       21.000]1     -4.766         -1179.           4.9998
    7  ANGL    36[GEN36       12.500]1      3.490         -1178.           4.9998
    5  ANGL    34[GEN34       15.500]1     -9.854         -1178.           4.9998
    6  ANGL    35[GEN35       15.500]1     -5.866         -1177.           0.4630
    3  ANGL    32[GEN32       21.000]1     -1.473         -1176.           0.5000
    2  ANGL    31[GEN31       34.500]1     -1.029         -1176.           0.4630
    8  ANGL    37[GEN37       12.500]1     -4.762         -1175.           4.9998
   10  ANGL    39[GEN39       345.00]1     -8.184         -1175.           4.9998
    1  ANGL    30[GEN30       34.500]1     -8.704         -1174.           0.5000
    9  ANGL    38[GEN38       34.500]1      0.000          0.000           0.0130     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   29  POWR    38[GEN38       34.500]1      8.300         -3.066           2.4650
   28  POWR    37[GEN37       12.500]1      5.400        -0.2067           0.9200
   26  POWR    35[GEN35       15.500]1      6.500         0.2020           0.8450
   30  POWR    39[GEN39       345.00]1      7.500         0.1798           4.1449
   24  POWR    33[GEN33       21.000]1      6.320         0.1634           0.5150
   25  POWR    34[GEN34       15.500]1      5.080         0.1574           3.5749
   27  POWR    36[GEN36       12.500]1      5.600         0.1278           1.0700
   22  POWR    31[GEN31       34.500]1      5.729         0.1134           1.6400
   23  POWR    32[GEN32       21.000]1      6.500         0.1032           3.0050
   21  POWR    30[GEN30       34.500]1      2.240        -0.5409E-01       4.1149     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   39  VARS    38[GEN38       34.500]1      2.082         -1.234           1.5350
   34  VARS    33[GEN33       21.000]1      2.827         0.6234           4.6848
   37  VARS    36[GEN36       12.500]1      1.312         0.4744           1.5950
   35  VARS    34[GEN34       15.500]1      2.475         0.4545           1.7150
   36  VARS    35[GEN35       15.500]1      3.741         0.4184           0.5600
   38  VARS    37[GEN37       12.500]1      1.919         0.3599           4.1749
   40  VARS    39[GEN39       345.00]1      3.681         0.3440           0.9500
   33  VARS    32[GEN32       21.000]1      4.467         0.2868           0.0730
   32  VARS    31[GEN31       34.500]1      4.298         0.1653           0.5000
   31  VARS    30[GEN30       34.500]1      1.532         0.1368           0.5000     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   19  ETRM    38[GEN38       34.500]1      1.026         0.2212E-01       0.8000
   11  ETRM    30[GEN30       34.500]1     0.9948        -0.2170E-01       1.0250
   13  ETRM    32[GEN32       21.000]1     0.9575        -0.1532E-01       0.0130
   12  ETRM    31[GEN31       34.500]1     0.7900        -0.1447E-01       1.1450
   16  ETRM    35[GEN35       15.500]1      1.029        -0.1314E-01       1.1600
   20  ETRM    39[GEN39       345.00]1      1.020        -0.1295E-01       1.1450
   14  ETRM    33[GEN33       21.000]1     0.9972        -0.1183E-01       0.8150
   17  ETRM    36[GEN36       12.500]1      1.023        -0.1073E-01       0.6650
   18  ETRM    37[GEN37       12.500]1      1.028        -0.9153E-02       4.6548
   15  ETRM    34[GEN34       15.500]1      1.012        -0.8354E-02       2.1350     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   78  FREQ     38 [GEN38       34.500]     0.000         0.2323E-01       1.8950
   69  FREQ     29 [LOAD29      345.00]     0.000         0.2323E-01       1.8950
   66  FREQ     26 [LOAD26      345.00]     0.000         0.2323E-01       0.1330
   68  FREQ     28 [LOAD28      345.00]     0.000         0.2323E-01       0.1180
   77  FREQ     37 [GEN37       12.500]     0.000        -0.7825E-03       3.3949
   74  FREQ     34 [GEN34       15.500]     0.000        -0.7718E-03       3.8299
   79  FREQ     39 [GEN39       345.00]     0.000        -0.7702E-03       3.4099
   71  FREQ     31 [GEN31       34.500]     0.000        -0.7600E-03       3.2749
   41  FREQ      1 [BUS1        345.00]     0.000        -0.7534E-03       3.4099
   49  FREQ      9 [BUS9        345.00]     0.000        -0.7461E-03       3.3949
   65  FREQ     25 [LOAD25      345.00]     0.000        -0.7425E-03       3.3949
   60  FREQ     20 [LOAD20      138.00]     0.000        -0.7403E-03       1.2950
   73  FREQ     33 [GEN33       21.000]     0.000        -0.7385E-03       1.2950
   72  FREQ     32 [GEN32       21.000]     0.000        -0.7341E-03       3.2899
   70  FREQ     30 [GEN30       34.500]     0.000        -0.7326E-03       3.3949
   42  FREQ      2 [BUS2        345.00]     0.000        -0.7250E-03       3.3949
   59  FREQ     19 [BUS19       345.00]     0.000        -0.7154E-03       3.8449
   48  FREQ      8 [LOAD8       345.00]     0.000        -0.7125E-03       0.8450
   47  FREQ      7 [LOAD7       345.00]     0.000        -0.7120E-03       0.8450
   46  FREQ      6 [BUS6        345.00]     0.000        -0.7114E-03       3.3049
   45  FREQ      5 [BUS5        345.00]     0.000        -0.7077E-03       3.3049
   51  FREQ     11 [BUS11       345.00]     0.000        -0.7056E-03       0.8750
   50  FREQ     10 [BUS10       345.00]     0.000        -0.7032E-03       3.3049
   75  FREQ     35 [GEN35       15.500]     0.000        -0.7002E-03       1.1750
   52  FREQ     12 [LOAD12      138.00]     0.000        -0.6996E-03       0.8750
   76  FREQ     36 [GEN36       12.500]     0.000        -0.6949E-03       1.2650
   53  FREQ     13 [BUS13       345.00]     0.000        -0.6944E-03       3.3049
   44  FREQ      4 [LOAD4       345.00]     0.000        -0.6854E-03       0.8150
   62  FREQ     22 [BUS22       345.00]     0.000        -0.6822E-03       1.2650
   63  FREQ     23 [LOAD23      345.00]     0.000        -0.6806E-03       1.2650
   43  FREQ      3 [LOAD3       345.00]     0.000        -0.6783E-03       0.7100
   54  FREQ     14 [BUS14       345.00]     0.000        -0.6724E-03       0.9050
   61  FREQ     21 [LOAD21      345.00]     0.000        -0.6662E-03       1.2650
   64  FREQ     24 [LOAD24      345.00]     0.000        -0.6549E-03       1.2800
   56  FREQ     16 [LOAD16      345.00]     0.000        -0.6509E-03       1.2950
   58  FREQ     18 [LOAD18      345.00]     0.000        -0.6365E-03       1.5050
   55  FREQ     15 [LOAD15      345.00]     0.000        -0.6281E-03       1.2500
   57  FREQ     17 [BUS17       345.00]     0.000        -0.6263E-03       1.3550
   67  FREQ     27 [LOAD27      345.00]     0.000        -0.6260E-03       1.3550     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:13
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
  105  VOLT     26 [LOAD26      345.00]     1.002         0.8567E-01       0.8000
  106  VOLT     27 [LOAD27      345.00]    0.9758        -0.7396E-01       0.9500
  107  VOLT     28 [LOAD28      345.00]     1.016         0.5153E-01       0.8000
   96  VOLT     17 [BUS17       345.00]    0.9601        -0.4245E-01       0.9500
  108  VOLT     29 [LOAD29      345.00]     1.021         0.3879E-01       0.8000
   97  VOLT     18 [LOAD18      345.00]    0.9503        -0.3804E-01       0.9800
   82  VOLT      3 [LOAD3       345.00]    0.9388        -0.3113E-01       1.0100
   95  VOLT     16 [LOAD16      345.00]    0.9603        -0.3016E-01       0.7700
  103  VOLT     24 [LOAD24      345.00]    0.9692        -0.2874E-01       0.7250
   94  VOLT     15 [LOAD15      345.00]    0.9389        -0.2855E-01       0.9950
   83  VOLT      4 [LOAD4       345.00]    0.9118        -0.2604E-01       1.0700
   93  VOLT     14 [BUS14       345.00]    0.9272        -0.2552E-01       0.0130
  100  VOLT     21 [LOAD21      345.00]    0.9729        -0.2520E-01       0.0130
   81  VOLT      2 [BUS2        345.00]    0.9920        -0.2465E-01       0.9950
   92  VOLT     13 [BUS13       345.00]    0.9324        -0.2343E-01       1.1000
   84  VOLT      5 [BUS5        345.00]    0.8965        -0.2316E-01       1.1000
   91  VOLT     12 [LOAD12      138.00]    0.9244        -0.2312E-01       1.1000
   85  VOLT      6 [BUS6        345.00]    0.8976        -0.2262E-01       1.1000
   90  VOLT     11 [BUS11       345.00]    0.9225        -0.2255E-01       1.1000
   89  VOLT     10 [BUS10       345.00]    0.9360        -0.2248E-01       1.1000
   86  VOLT      7 [LOAD7       345.00]    0.8404        -0.2236E-01       1.1000
   87  VOLT      8 [LOAD8       345.00]    0.8585        -0.2222E-01       0.0130
  117  VOLT     38 [GEN38       34.500]     1.026         0.2212E-01       0.8000
  109  VOLT     30 [GEN30       34.500]    0.9948        -0.2170E-01       1.0250
  101  VOLT     22 [BUS22       345.00]     1.006        -0.1960E-01       0.0130
