     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
    4  ANGL    33[GEN33       21.000]1     -4.766          8493.           4.9998
    7  ANGL    36[GEN36       12.500]1      3.490         -11.58           3.1550
    5  ANGL    34[GEN34       15.500]1     -9.854          9.854           0.5000
    6  ANGL    35[GEN35       15.500]1     -5.866         -9.362           2.5850
    8  ANGL    37[GEN37       12.500]1     -4.762         -6.043           4.3699
   10  ANGL    39[GEN39       345.00]1     -8.184          4.623           2.8400
    2  ANGL    31[GEN31       34.500]1     -1.029          4.565           2.7650
    1  ANGL    30[GEN30       34.500]1     -8.704          4.547           2.7500
    3  ANGL    32[GEN32       21.000]1     -1.473          3.363           1.7000
    9  ANGL    38[GEN38       34.500]1      0.000          0.000           0.0130     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   24  POWR    33[GEN33       21.000]1      6.320         -6.235           4.9548
   25  POWR    34[GEN34       15.500]1      5.080         -5.080           0.5000
   26  POWR    35[GEN35       15.500]1      6.500          1.207           0.5000
   29  POWR    38[GEN38       34.500]1      8.300          1.148           4.3249
   27  POWR    36[GEN36       12.500]1      5.600         0.9035           1.1150
   30  POWR    39[GEN39       345.00]1      7.500         0.7783           3.9199
   23  POWR    32[GEN32       21.000]1      6.500         0.5419           4.9548
   28  POWR    37[GEN37       12.500]1      5.400         0.5253           4.0699
   22  POWR    31[GEN31       34.500]1      5.729         0.5064           4.9848
   21  POWR    30[GEN30       34.500]1      2.240         0.2087           0.5000     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   34  VARS    33[GEN33       21.000]1      2.827         -2.924           2.2850
   35  VARS    34[GEN34       15.500]1      2.475         -2.475           0.5000
   37  VARS    36[GEN36       12.500]1      1.312          2.430           2.4950
   36  VARS    35[GEN35       15.500]1      3.741          1.942           0.5000
   38  VARS    37[GEN37       12.500]1      1.919          1.870           4.9998
   39  VARS    38[GEN38       34.500]1      2.082          1.777           2.1200
   40  VARS    39[GEN39       345.00]1      3.681          1.211           0.8750
   33  VARS    32[GEN32       21.000]1      4.467          1.132           4.9548
   32  VARS    31[GEN31       34.500]1      4.298         0.6342           0.5000
   31  VARS    30[GEN30       34.500]1      1.532         0.4394           0.5000     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 10 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   15  ETRM    34[GEN34       15.500]1      1.012         -1.012           0.5000
   14  ETRM    33[GEN33       21.000]1     0.9972         0.8819E-01       4.4749
   11  ETRM    30[GEN30       34.500]1     0.9948        -0.7451E-01       0.0130
   13  ETRM    32[GEN32       21.000]1     0.9575        -0.6584E-01       0.0130
   16  ETRM    35[GEN35       15.500]1      1.029        -0.6548E-01       1.2050
   12  ETRM    31[GEN31       34.500]1     0.7900        -0.6076E-01       0.0130
   17  ETRM    36[GEN36       12.500]1      1.023        -0.5347E-01       0.6800
   20  ETRM    39[GEN39       345.00]1      1.020        -0.4944E-01       1.2200
   18  ETRM    37[GEN37       12.500]1      1.028        -0.4741E-01       1.0850
   19  ETRM    38[GEN38       34.500]1      1.026        -0.3025E-01       2.6600     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
   73  FREQ     33 [GEN33       21.000]     0.000         0.1591           4.9998
   76  FREQ     36 [GEN36       12.500]     0.000        -0.4859E-02       2.8700
   75  FREQ     35 [GEN35       15.500]     0.000        -0.4702E-02       2.7650
   63  FREQ     23 [LOAD23      345.00]     0.000        -0.4612E-02       0.5000
   62  FREQ     22 [BUS22       345.00]     0.000        -0.4590E-02       2.8100
   79  FREQ     39 [GEN39       345.00]     0.000        -0.4522E-02       3.2149
   78  FREQ     38 [GEN38       34.500]     0.000        -0.4475E-02       3.4849
   61  FREQ     21 [LOAD21      345.00]     0.000        -0.4462E-02       2.8250
   49  FREQ      9 [BUS9        345.00]     0.000        -0.4462E-02       3.2000
   41  FREQ      1 [BUS1        345.00]     0.000        -0.4433E-02       3.2149
   71  FREQ     31 [GEN31       34.500]     0.000        -0.4418E-02       3.1550
   69  FREQ     29 [LOAD29      345.00]     0.000        -0.4380E-02       3.4549
   72  FREQ     32 [GEN32       21.000]     0.000        -0.4378E-02       0.5000
   64  FREQ     24 [LOAD24      345.00]     0.000        -0.4378E-02       2.8550
   48  FREQ      8 [LOAD8       345.00]     0.000        -0.4360E-02       0.4480
   47  FREQ      7 [LOAD7       345.00]     0.000        -0.4355E-02       0.4630
   46  FREQ      6 [BUS6        345.00]     0.000        -0.4348E-02       3.1550
   45  FREQ      5 [BUS5        345.00]     0.000        -0.4342E-02       3.1550
   51  FREQ     11 [BUS11       345.00]     0.000        -0.4337E-02       0.5000
   56  FREQ     16 [LOAD16      345.00]     0.000        -0.4337E-02       0.5000
   59  FREQ     19 [BUS19       345.00]     0.000        -0.4334E-02       2.8550
   68  FREQ     28 [LOAD28      345.00]     0.000        -0.4333E-02       3.4549
   50  FREQ     10 [BUS10       345.00]     0.000        -0.4332E-02       0.5000
   60  FREQ     20 [LOAD20      138.00]     0.000        -0.4331E-02       0.5000
   74  FREQ     34 [GEN34       15.500]     0.000        -0.4331E-02       0.5000
   52  FREQ     12 [LOAD12      138.00]     0.000        -0.4327E-02       3.1250
   53  FREQ     13 [BUS13       345.00]     0.000        -0.4319E-02       3.1250
   55  FREQ     15 [LOAD15      345.00]     0.000        -0.4296E-02       0.5000
   44  FREQ      4 [LOAD4       345.00]     0.000        -0.4295E-02       3.1250
   70  FREQ     30 [GEN30       34.500]     0.000        -0.4288E-02       0.2980
   77  FREQ     37 [GEN37       12.500]     0.000        -0.4287E-02       0.4180
   54  FREQ     14 [BUS14       345.00]     0.000        -0.4287E-02       0.4630
   42  FREQ      2 [BUS2        345.00]     0.000        -0.4278E-02       0.4180
   65  FREQ     25 [LOAD25      345.00]     0.000        -0.4259E-02       0.4180
   43  FREQ      3 [LOAD3       345.00]     0.000        -0.4244E-02       0.4480
   57  FREQ     17 [BUS17       345.00]     0.000        -0.4242E-02       0.5000
   58  FREQ     18 [LOAD18      345.00]     0.000        -0.4220E-02       0.4180
   66  FREQ     26 [LOAD26      345.00]     0.000        -0.4201E-02       0.5000
   67  FREQ     27 [LOAD27      345.00]     0.000        -0.4148E-02       0.4180     PTI INTERACTIVE PLOTTING PROGRAM--PSSPLT      WED, OCT 17 2018  22:10
IEEE 39 BUS SYSTEM
VULNERABILITY ASSESSMENT

 LIST OF 39 CHANNELS WITH MAXIMUM DEVIATION FROM  INITIAL TIME=    -0.0020
            FROM TIME      0.0000 TO TIME      5.0000

CHANEL IDENTIFIER                        INITIAL VALUE    DEVIATION         TIME (SECONDS)
  113  VOLT     34 [GEN34       15.500]     1.012        -0.3137           0.9950
   99  VOLT     20 [LOAD20      138.00]    0.9765        -0.2716           0.9950
   98  VOLT     19 [BUS19       345.00]     1.024        -0.2508           0.9950
   95  VOLT     16 [LOAD16      345.00]    0.9603        -0.1415           0.9950
  103  VOLT     24 [LOAD24      345.00]    0.9692        -0.1348           0.8600
   94  VOLT     15 [LOAD15      345.00]    0.9389        -0.1320           1.0250
   96  VOLT     17 [BUS17       345.00]    0.9601        -0.1244           1.0250
  100  VOLT     21 [LOAD21      345.00]    0.9729        -0.1195           0.6950
   97  VOLT     18 [LOAD18      345.00]    0.9503        -0.1160           1.0400
  106  VOLT     27 [LOAD27      345.00]    0.9758        -0.1079           0.9950
   93  VOLT     14 [BUS14       345.00]    0.9272        -0.1077           1.0400
   82  VOLT      3 [LOAD3       345.00]    0.9388        -0.1022           1.0550
   83  VOLT      4 [LOAD4       345.00]    0.9118        -0.1020           1.0550
   92  VOLT     13 [BUS13       345.00]    0.9324        -0.9864E-01       1.0550
   91  VOLT     12 [LOAD12      138.00]    0.9244        -0.9689E-01       0.0130
  101  VOLT     22 [BUS22       345.00]     1.006        -0.9490E-01       0.0130
  102  VOLT     23 [LOAD23      345.00]    0.9970        -0.9472E-01       0.6800
